Date : 2024-06-20 15:20:21
Directory : e:\MyProjects\IMeetE\UIPrototype\codes
Total : 118 files,  6414 codes, 1034 comments, 918 blanks, all 8366 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\MyProjects\IMeetE\UIPrototype\codes\image\like.svg                                | XML        |          1 |          0 |          0 |          1 |
| e:\MyProjects\IMeetE\UIPrototype\codes\image\share.svg                               | XML        |          1 |          0 |          0 |          1 |
| e:\MyProjects\IMeetE\UIPrototype\codes\image\view.svg                                | XML        |          1 |          0 |          0 |          1 |
| e:\MyProjects\IMeetE\UIPrototype\codes\modules\chat-input\chat-input.js              | JavaScript |        467 |         22 |         33 |        522 |
| e:\MyProjects\IMeetE\UIPrototype\codes\modules\chat-input\chat-input.wxml            | WXML       |         27 |          1 |          5 |         33 |
| e:\MyProjects\IMeetE\UIPrototype\codes\modules\chat-input\chat-input.wxss            | CSS        |         57 |          4 |          4 |         65 |
| e:\MyProjects\IMeetE\UIPrototype\codes\modules\chat-input\extra.wxml                 | WXML       |          8 |          0 |          1 |          9 |
| e:\MyProjects\IMeetE\UIPrototype\codes\modules\chat-input\extra.wxss                 | CSS        |         31 |          0 |          3 |         34 |
| e:\MyProjects\IMeetE\UIPrototype\codes\modules\chat-input\voice.wxml                 | WXML       |         18 |          0 |          0 |         18 |
| e:\MyProjects\IMeetE\UIPrototype\codes\modules\chat-input\voice.wxss                 | CSS        |         47 |          2 |          4 |         53 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\friend\friend.js                        | JavaScript |         64 |         58 |         15 |        137 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\friend\friend.json                      | JSON       |          4 |          0 |          0 |          4 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\friend\friend.wxml                      | WXML       |         28 |          4 |          4 |         36 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\friend\friend.wxss                      | CSS        |        122 |         30 |         14 |        166 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\friend\success.js                       | JavaScript |         72 |         30 |         21 |        123 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\friend\success.json                     | JSON       |          3 |          0 |          0 |          3 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\friend\success.wxml                     | WXML       |         37 |          3 |          1 |         41 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\friend\success.wxss                     | CSS        |        140 |         11 |          6 |        157 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\info\info.js                            | JavaScript |         77 |          7 |         12 |         96 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\info\info.json                          | JSON       |          6 |          0 |          0 |          6 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\info\info.wxml                          | WXML       |         45 |          2 |          1 |         48 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\info\info.wxss                          | CSS        |        129 |          2 |         23 |        154 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\login\login.js                          | JavaScript |        107 |         35 |         26 |        168 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\login\login.json                        | JSON       |          3 |          0 |          0 |          3 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\login\login.wxml                        | WXML       |         11 |          1 |          1 |         13 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\login\login.wxss                        | CSS        |         32 |          0 |          3 |         35 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\index\index.js                     | JavaScript |         37 |         28 |         20 |         85 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\index\index.json                   | JSON       |          5 |          0 |          0 |          5 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\index\index.wxml                   | WXML       |         30 |          2 |          1 |         33 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\index\index.wxss                   | CSS        |          0 |          1 |          0 |          1 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\intro-detail\intro-detail.js       | JavaScript |         42 |         28 |         18 |         88 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\intro-detail\intro-detail.json     | JSON       |          5 |          0 |          0 |          5 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\intro-detail\intro-detail.wxml     | WXML       |          2 |          2 |          3 |          7 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\intro-detail\intro-detail.wxss     | CSS        |          0 |          1 |          0 |          1 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\introduction\introduction.js       | JavaScript |         47 |         30 |         21 |         98 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\introduction\introduction.json     | JSON       |          5 |          0 |          0 |          5 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\introduction\introduction.wxml     | WXML       |         12 |          1 |          2 |         15 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\introduction\introduction.wxss     | CSS        |         33 |          6 |          5 |         44 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\mbti-post\mbti-post.js             | JavaScript |        123 |          2 |         10 |        135 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\mbti-post\mbti-post.json           | JSON       |          6 |          0 |          0 |          6 |
